Indicator Name,Indicator Code,Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Congo, Rep.",COG,,,2.67800132797443,,,,,2.58644789030688,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Costa Rica,CRI,,,0.110900170151073,,,,,0.0795524765460347,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Cote d'Ivoire,CIV,,,2.47738606950576,,,,,1.86999614915307,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Croatia,HRV,,,0.0185271554032756,,,,,0.0241215339927427,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Cuba,CUB,,,0.0981059247645507,,,,,0.0983604060694935,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Curacao,CUW,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Cyprus,CYP,,,0.0188565315996142,,,,,0.0158922607766377,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Czech Republic,CZE,,,0.00989398140520304,,,,,0.00823575355554477,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Denmark,DNK,,,0.0118720070759056,,,,,0.0219961786590036,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Djibouti,DJI,,,0.847716083163214,,,,,0.72045468104176,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Dominica,DMA,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Dominican Republic,DOM,,,0.410226756397224,,,,,0.419105832405466,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Ecuador,ECU,,,0.332679468436193,,,,,0.286195399423648,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Egypt, Arab Rep.",EGY,,,0.253423487303441,,,,,0.202976073025175,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,El Salvador,SLV,,,0.258974136769692,,,,,0.20425307063488,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Equatorial Guinea,GNQ,,,1.34267066934498,,,,,1.1419258867945,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Eritrea,ERI,,,1.53172462376042,,,,,1.16091995537231,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Estonia,EST,,,0.0334719144882317,,,,,0.00398227622846439,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Ethiopia,ETH,,,2.59603217222386,,,,,1.48791595884598,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Faeroe Islands,FRO,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Fiji,FJI,,,0.0864626743184568,,,,,0.073701709220895,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Finland,FIN,,,0.0110004445663287,,,,,0.0081855390384838,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,France,FRA,,,0.0153652389858528,,,,,0.0162448999994217,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,French Polynesia,PYF,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Gabon,GAB,,,0.974002523871276,,,,,0.790505564013547,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Gambia, The",GMB,,,2.33259676698348,,,,,1.78902075076178,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Georgia,GEO,,,0.0938843576028846,,,,,0.104241757486622,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Germany,DEU,,,0.0087343028798918,,,,,0.00939803931101017,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Ghana,GHA,,,1.95883399014186,,,,,1.47810687239981,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Greece,GRC,,,0.00381005213604212,,,,,0.00391764770251713,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Greenland,GRL,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Grenada,GRD,,,0.0609977459808784,,,,,0.0593800857131711,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Guam,GUM,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Guatemala,GTM,,,0.590135909872441,,,,,0.523413891911568,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Guinea,GIN,,,4.55489216535125,,,,,3.35914868494762,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Guinea-Bissau,GNB,,,4.79957829334448,,,,,3.95947367052336,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Guyana,GUY,,,0.698390657152217,,,,,0.646314802898769,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Haiti,HTI,,,1.50575389655651,,,,,1.20504076938251,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Honduras,HND,,,0.50341688047691,,,,,0.36714134388736,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Hong Kong SAR, China",HKG,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Hungary,HUN,,,0.0135693407785001,,,,,0.030510399152829,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Iceland,ISL,,,0.0114364378765474,,,,,0.0112385529796412,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,India,IND,,,0.878368156565171,,,,,0.59628485832145,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Indonesia,IDN,,,0.659987647921057,,,,,0.48011833373613,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Iran, Islamic Rep.",IRN,,,0.0621812842630074,,,,,0.0413344437892178,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Iraq,IRQ,,,0.402823458122838,,,,,0.32488310852133,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Ireland,IRL,,,0.00383420241131929,,,,,0.0123467207690547,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Isle of Man,IMY,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Israel,ISR,,,0.0201306166449743,,,,,0.0197866221029888,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Italy,ITA,,,0.00650743527144271,,,,,0.00491807236394954,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Jamaica,JAM,,,0.232110184181346,,,,,0.270553585719779,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Japan,JPN,,,0.00936250526490153,,,,,0.00765683679453727,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Jordan,JOR,,,0.268179357936646,,,,,0.2121709729017,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Kazakhstan,KAZ,,,0.11471817704957,,,,,0.129287618917484,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Kenya,KEN,,,2.2099070238498,,,,,1.80822418857407,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Kiribati,KIR,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Korea, Dem. Rep.",PRK,,,0.170315513684728,,,,,0.149999401153127,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Korea, Rep.",KOR,,,0.0216376860527725,,,,,0.0208611125573713,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Kosovo,KSV,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Kuwait,KWT,,,0.0204995108394944,,,,,0.0347380192039587,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Kyrgyz Republic,KGZ,,,0.213453552782759,,,,,0.208794222319592,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Lao PDR,LAO,,,2.18360893556796,,,,,1.34292148914611,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Latvia,LVA,,,0.0263414119709932,,,,,0.0490831483184322,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Lebanon,LBN,,,0.0635594219414552,,,,,0.0472490475862362,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Lesotho,LSO,,,2.23521714031133,,,,,1.88679224270806,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Liberia,LBR,,,6.21476592835044,,,,,4.11159247527147,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Libya,LBY,,,0.181344740138597,,,,,0.160836257606434,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Liechtenstein,LIE,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Lithuania,LTU,,,0.0139978938279971,,,,,0.0106707648577551,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Luxembourg,LUX,,,0.0273659962857049,,,,,0.0310593809741005,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Macao SAR, China",MAC,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Macedonia, FYR",MKD,,,0.0158586743643665,,,,,0.015808915573683,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Madagascar,MDG,,,1.68113133614456,,,,,1.23943540002667,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Malawi,MWI,,,3.58431418170038,,,,,2.80507475346279,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Malaysia,MYS,,,0.0974845019982201,,,,,0.0787454655627996,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Maldives,MDV,,,0.20978668738311,,,,,0.115511307255875,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Mali,MLI,,,4.25849396848776,,,,,3.55827255370351,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Malta,MLT,,,0.0129248751919347,,,,,0.0112261872329704,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Marshall Islands,MHL,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Mauritania,MRT,,,2.70551624351527,,,,,2.26365605702069,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Mauritius,MUS,,,0.0591422285412751,,,,,0.0965397476113803,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Mexico,MEX,,,0.147020697059785,,,,,0.126652139105783,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Micronesia, Fed. Sts.",FSM,,,0.420750963001932,,,,,0.347910220381713,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Moldova,MDA,,,0.0380695375492548,,,,,0.0659702947279115,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Monaco,MCO,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Mongolia,MNG,,,0.206012401161647,,,,,0.16802675255939,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Montenegro,MNE,,,0.0156446002655351,,,,,0.0134433541000095,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Morocco,MAR,,,0.332206676977382,,,,,0.246983600646426,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Mozambique,MOZ,,,3.22968737654877,,,,,2.31701337442518,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Myanmar,MMR,,,0.511160250910979,,,,,0.39860411086385,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Namibia,NAM,,,1.04803450907538,,,,,0.641811382120907,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Nepal,NPL,,,0.934768767385443,,,,,0.532083043777825,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Netherlands,NLD,,,0.0141325714020022,,,,,0.00952083209484388,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,New Caledonia,NCL,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,New Zealand,NZL,,,0.0290520136752384,,,,,0.0304603250438553,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Nicaragua,NIC,,,0.359490913312937,,,,,0.288732011914058,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Niger,NER,,,5.44355931443191,,,,,4.32860859706687,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Nigeria,NGA,,,4.47738293590753,,,,,3.4304746871017,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Northern Mariana Islands,MNP,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Norway,NOR,,,0.017281497282674,,,,,0.0127019189979028,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Oman,OMN,,,0.11120718037731,,,,,0.0810973143352953,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Pakistan,PAK,,,1.19620153046553,,,,,0.94030841172489,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Palau,PLW,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Panama,PAN,,,0.293450265891978,,,,,0.242898919431118,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Papua New Guinea,PNG,,,1.20986545657177,,,,,0.946607743250288,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Paraguay,PRY,,,0.392651393249719,,,,,0.324722346611896,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Peru,PER,,,0.260298644002571,,,,,0.176850486370943,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Philippines,PHL,,,0.403509833384764,,,,,0.332788924625133,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Poland,POL,,,0.00663089756163803,,,,,0.00692161772788833,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Portugal,PRT,,,0.0119374100809641,,,,,0.0108642215389357,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Puerto Rico,PRI,,,0.0404624851121653,,,,,0.0363347524453424,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Qatar,QAT,,,0.0285423381669278,,,,,0.0183770700068503,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Romania,ROM,,,0.0406942464769401,,,,,0.0384366850251897,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Russian Federation,RUS,,,0.048580231754521,,,,,0.0500611562679778,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Rwanda,RWA,,,2.83337355654236,,,,,1.85808578690641,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Samoa,WSM,,,0.53,,,,,0.3846153846,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,San Marino,SMR,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Sao Tome and Principe,STP,,,0.413976379538717,,,,,0.303003760491034,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Saudi Arabia,SAU,,,0.0860093172876404,,,,,0.0730883881518236,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Senegal,SEN,,,2.31013903336032,,,,,1.86830771902109,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Serbia,SRB,,,0.0179268589352735,,,,,0.0202446875150742,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Seychelles,SYC,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Sierra Leone,SLE,,,5.34770312555959,,,,,4.35028304827731,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Singapore,SGP,,,0.0108017586773113,,,,,0.00394624224508939,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Sint Maarten (Dutch part),SXM,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Slovak Republic,SVK,,,0.00717881810755076,,,,,0.0082065692637127,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Slovenia,SVN,,,0.0178940701982212,,,,,0.0168777870048477,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Solomon Islands,SLB,,,0.52677234585806,,,,,0.422843305090988,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Somalia,SOM,,,6.37875585015842,,,,,6.20001802154324,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,South Africa,ZAF,,,0.91897143324925,,,,,0.718595446553408,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,South Sudan,SSD,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Spain,ESP,,,0.00808773004017329,,,,,0.0083072388010053,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Sri Lanka,LKA,,,0.106026848131115,,,,,0.0835406317888432,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,St. Kitts and Nevis,KNA,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,St. Lucia,LCA,,,0.0870817385441837,,,,,0.072865564342617,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,St. Martin (French part),MAF,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,St. Vincent and the Grenadines,VCT,,,0.148839780144274,,,,,0.106038664080376,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Sudan,SDN,,,3.91073220673198,,,,,3.25342404483571,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Suriname,SUR,,,0.294467428727307,,,,,0.31389263175203,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Swaziland,SWZ,,,1.42300214432224,,,,,1.05021450904236,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Sweden,SWE,,,0.00639609332313133,,,,,0.00711397736266741,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Switzerland,CHE,,,0.00908110735651814,,,,,0.0105782801083231,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Syrian Arab Republic,SYR,,,0.305401696729657,,,,,0.219272135567011,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Tajikistan,TJK,,,0.300578531781287,,,,,0.234569390021459,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Tanzania,TZA,,,3.36124198615901,,,,,2.61362533682896,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Thailand,THA,,,0.0875764882874065,,,,,0.0730263635534991,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Timor-Leste,TMP,,,2.62008823381127,,,,,1.82581112385615,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Togo,TGO,,,1.70265944887483,,,,,1.24650146135231,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Tonga,TON,,,0.407770491721469,,,,,0.433880296720904,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Trinidad and Tobago,TTO,,,0.0990005378864978,,,,,0.0789435466117247,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Tunisia,TUN,,,0.140725515372488,,,,,0.116429297709459,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Turkey,TUR,,,0.067813520033043,,,,,0.0456746700515387,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Turkmenistan,TKM,,,0.209286415329573,,,,,0.170839127012273,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Turks and Caicos Islands,TCA,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Tuvalu,TUV,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Uganda,UGA,,,2.82619570495049,,,,,2.04036760862535,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Ukraine,UKR,,,0.0304188557462392,,,,,0.0459228234734615,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,United Arab Emirates,ARE,,,0.0346284012345682,,,,,0.024928313826688,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,United Kingdom,GBR,,,0.0214735068383536,,,,,0.0217877611698718,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,United States,USA,,,0.0349985975660068,,,,,0.0412775389912466,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Uruguay,URY,,,0.0686043256498026,,,,,0.0615438523903011,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Uzbekistan,UZB,,,0.0863671117534418,,,,,0.0711913790771091,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Vanuatu,VUT,,,0.497460769668123,,,,,0.43212102376528,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Venezuela, RB",VEN,,,0.269967168826955,,,,,0.245897972416626,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Vietnam,VNM,,,0.151643687623821,,,,,0.114848832879737,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Virgin Islands (U.S.),VIR,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,West Bank and Gaza,WBG,,,,,,,,,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,"Yemen, Rep.",YEM,,,1.59010927631879,,,,,1.11342722378843,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Zambia,ZMB,,,2.84254232357131,,,,,2.73520990892503,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,Zimbabwe,ZWE,,,2.13201266754647,,,,,1.92112974758164,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Afghanistan,AFG,,,61.0316778809601,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Albania,ALB,,,34.0055513152925,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Algeria,DZA,,,42.7981739011026,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,American Samoa,ASM,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Andorra,ADO,,,15.4802223360723,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Angola,AGO,,,57.0660605760416,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Antigua and Barbuda,ATG,,,29.4981999128548,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Argentina,ARG,,,25.3819501113,,30.5,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Armenia,ARM,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Aruba,ABW,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Australia,AUS,,,12.4156441328209,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Austria,AUT,,,15.4885438475882,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Azerbaijan,AZE,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,"Bahamas, The",BHS,,,23.3200524004298,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Bahrain,BHR,,,27.7255224343186,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Bangladesh,BGD,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Barbados,BRB,,,22.9978342388763,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Belarus,BLR,,,25.8167487483318,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Belgium,BEL,,,12.9012092605052,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Belize,BLZ,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Benin,BEN,,,,75,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Bermuda,BMU,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Bhutan,BTN,,,49.5908044291933,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Bolivia,BOL,,37,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Bosnia and Herzegovina,BIH,,,34.8472029667668,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Botswana,BWA,,,21.2807718665957,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Brazil,BRA,,,29.1226216839294,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Brunei Darussalam,BRN,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Bulgaria,BGR,,,29.6953507484605,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Burkina Faso,BFA,68.3,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Burundi,BDI,47.1,,47.1,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Cambodia,KHM,,,,57.1,,,,44.4,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Cameroon,CMR,,50.9,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Canada,CAN,,,11.507377712277,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Cape Verde,CPV,,,41.2532353471262,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Cayman Islands,CYM,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Central African Republic,CAF,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Chad,TCD,,,60.3591415699077,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Channel Islands,CHI,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Chile,CHL,,,28.326449555,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,China,CHN,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Colombia,COL,,,31.1066740981536,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Comoros,COM,,,55.0273733400518,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,"Congo, Dem. Rep.",ZAR,,,67.3,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,"Congo, Rep.",COG,,,55.2726938486898,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Costa Rica,CRI,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Cote d'Ivoire,CIV,,,55.0733586209678,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Croatia,HRV,,,28.4311703137565,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Cuba,CUB,,,39.0624265818098,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Curacao,CUW,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Cyprus,CYP,,,25.2107769708528,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Czech Republic,CZE,,,22.3156991722205,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Denmark,DNK,,,12.4164839193288,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Djibouti,DJI,,,56.1937588585313,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Dominica,DMA,,,,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Dominican Republic,DOM,,,39.9348944828343,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,Ecuador,ECU,,,37.8145931315809,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,"Egypt, Arab Rep.",EGY,,,34.2,,,,,,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,El Salvador,SLV,,,,,,,,,,
